origin,Destination,Chargeable Wt,Mode,Nature of Consignment,Historical_Delivery_Days
Kochi,Pune,6.12,Surface,Dox,5
Vizag,Jaipur,13.26,Surface,Non-Dox,5
Dehradun,Bhopal,4.85,Surface,Dox,3
Chandigarh,Jaipur,10.39,Express,Non-Dox,2
Jaipur,Coimbatore,6.24,Express,Dox,2
Varanasi,Vizag,10.79,Surface,Dox,5
Thiruvananthapuram,Coimbatore,6.18,Surface,Dox,5
Nagpur,Vijayawada,9.99,Express,Non-Dox,2
Nagpur,Meerut,8.72,Surface,Non-Dox,5
Jamshedpur,Lucknow,13.08,Air Cargo,Non-Dox,5
Jaipur,Ahmedabad,8.33,Surface,Non-Dox,5
Lucknow,Pune,2.01,Surface,Non-Dox,3
Jaipur,Shimla,3,Surface,Non-Dox,3
Mumbai,Agra,5.8,Express,Non-Dox,2
Amritsar,Kolkata,6.4,Surface,Non-Dox,5
Aurangabad,Jamshedpur,4.82,Air Cargo,Non-Dox,3
Bhopal,Kolkata,8.49,Surface,Dox,5
Raipur,Guwahati,7.83,Air Cargo,Dox,5
Guwahati,Jamshedpur,9.31,Air Cargo,Non-Dox,5
Pune,Kolkata,9.25,Air Cargo,Non-Dox,5
Ranchi,Bangalore,12.66,Surface,Dox,5
Bhubaneswar,Agra,5.42,Surface,Dox,5
Delhi,Srinagar,4.87,Surface,Non-Dox,3
Bhopal,Bangalore,11.92,Air Cargo,Dox,5
Amritsar,Jaipur,3.93,Surface,Dox,3
Agra,Nagpur,10.97,Surface,Non-Dox,5
Ludhiana,Chandigarh,5.3,Surface,Non-Dox,5
Dehradun,Coimbatore,6.12,Surface,Non-Dox,5
Pune,Hyderabad,9.53,Surface,Dox,5
Thiruvananthapuram,Ludhiana,9.78,Surface,Non-Dox,5
Dehradun,Jamshedpur,3.92,Air Cargo,Non-Dox,3
Ludhiana,Mumbai,5.22,Surface,Non-Dox,5
Mumbai,Amritsar,2.16,Surface,Dox,3
Amritsar,Kolkata,13.93,Surface,Dox,5
Thiruvananthapuram,Indore,2.25,Surface,Dox,3
Raipur,Bhopal,13.61,Surface,Dox,5
Shimla,Bhopal,4.47,Surface,Dox,3
Mumbai,Raipur,13.25,Express,Non-Dox,2
Ahmedabad,Indore,10.17,Express,Non-Dox,2
Thiruvananthapuram,Dehradun,4.17,Surface,Dox,3
Lucknow,Bhubaneswar,13.5,Surface,Non-Dox,5
Hyderabad,Pune,8.13,Surface,Dox,5
Aurangabad,Delhi,8.57,Surface,Non-Dox,5
Vijayawada,Chandigarh,8.51,Express,Dox,2
Vijayawada,Kolkata,8.16,Surface,Non-Dox,5
Nashik,Lucknow,8.5,Surface,Dox,5
Dehradun,Vijayawada,12.36,Surface,Non-Dox,5
Amritsar,Pune,4.53,Surface,Non-Dox,3
Pune,Ranchi,12.61,Air Cargo,Non-Dox,5
Bangalore,Indore,13.36,Express,Dox,2
Jamshedpur,Raipur,2.26,Express,Dox,2
Lucknow,Mumbai,8.37,Surface,Dox,5
Agra,Chennai,6.44,Express,Non-Dox,2
Agra,Vijayawada,11.65,Air Cargo,Dox,5
Ahmedabad,Kochi,10.31,Surface,Dox,5
Kolkata,Jaipur,8.01,Air Cargo,Non-Dox,5
Jamshedpur,Jaipur,10.85,Surface,Dox,5
Bhopal,Ludhiana,6.71,Express,Non-Dox,2
Hyderabad,Guwahati,11.76,Surface,Non-Dox,5
Varanasi,Meerut,8.08,Surface,Non-Dox,5
Shimla,Varanasi,4.52,Air Cargo,Dox,3
Dehradun,Mumbai,11.14,Surface,Non-Dox,5
Amritsar,Indore,11.84,Surface,Non-Dox,5
Hyderabad,Kolkata,3.43,Air Cargo,Non-Dox,3
Lucknow,Amritsar,10.66,Surface,Dox,5
Mumbai,Guwahati,14.17,Express,Dox,2
Thiruvananthapuram,Bhopal,11.69,Air Cargo,Non-Dox,5
Vijayawada,Surat,8.31,Express,Dox,2
Meerut,Shimla,4.69,Air Cargo,Dox,3
Guwahati,Raipur,13.63,Air Cargo,Dox,5
Delhi,Chennai,5,Air Cargo,Dox,3
Nashik,Pune,11.18,Surface,Dox,5
Coimbatore,Bangalore,7.14,Surface,Dox,5
Mumbai,Hyderabad,13.04,Express,Dox,2
Guwahati,Nagpur,11.38,Surface,Non-Dox,5
Shimla,Agra,8.99,Express,Dox,2
Varanasi,Lucknow,11.54,Surface,Non-Dox,5
Lucknow,Jaipur,6.13,Express,Dox,2
Nagpur,Ahmedabad,10.36,Surface,Dox,5
Nashik,Thiruvananthapuram,11.85,Surface,Non-Dox,5
Mumbai,Jaipur,6.88,Surface,Dox,5
Mumbai,Srinagar,7.44,Surface,Non-Dox,5
Ludhiana,Delhi,5.72,Surface,Dox,5
Lucknow,Kolkata,9.86,Surface,Dox,5
Varanasi,Meerut,4.02,Surface,Non-Dox,3
Jamshedpur,Amritsar,9.44,Air Cargo,Non-Dox,5
Patna,Shimla,8.38,Express,Dox,2
Nashik,Guwahati,3.02,Surface,Dox,3
Bhubaneswar,Coimbatore,9.28,Express,Non-Dox,2
Varanasi,Bhubaneswar,8.67,Surface,Dox,5
Chennai,Amritsar,7.96,Surface,Dox,5
Vizag,Bhubaneswar,7.86,Air Cargo,Dox,5
Hyderabad,Meerut,2.58,Surface,Non-Dox,3
Varanasi,Vijayawada,5.99,Surface,Dox,5
Aurangabad,Patna,7.29,Air Cargo,Dox,5
Bhopal,Hyderabad,8.15,Surface,Non-Dox,5
Agra,Vizag,12.29,Air Cargo,Dox,5
Kochi,Ahmedabad,8.6,Surface,Dox,5
Pune,Bhopal,3.09,Surface,Dox,3
Kochi,Patna,1.7,Express,Non-Dox,1
Surat,Kochi,8.32,Surface,Non-Dox,5
Nagpur,Mumbai,13.72,Air Cargo,Non-Dox,5
Nashik,Coimbatore,1.8,Express,Dox,1
Bhopal,Delhi,10.52,Air Cargo,Non-Dox,5
Kolkata,Shimla,6.98,Surface,Non-Dox,5
Ranchi,Srinagar,11.88,Surface,Dox,5
Kochi,Raipur,8.31,Surface,Non-Dox,5
Varanasi,Nashik,10.07,Express,Dox,2
Vizag,Vijayawada,2.54,Express,Dox,2
Thiruvananthapuram,Kochi,9.96,Express,Non-Dox,2
Amritsar,Aurangabad,11.11,Surface,Non-Dox,5
Srinagar,Patna,3.4,Air Cargo,Dox,3
Raipur,Patna,8.18,Express,Dox,2
Surat,Delhi,7.97,Surface,Non-Dox,5
Srinagar,Delhi,6.12,Air Cargo,Non-Dox,5
Mumbai,Chandigarh,11.43,Surface,Non-Dox,5
Surat,Varanasi,8.03,Express,Non-Dox,2
Bhopal,Ludhiana,9.87,Express,Non-Dox,2
Dehradun,Bhubaneswar,9.1,Surface,Non-Dox,5
Raipur,Dehradun,13.63,Surface,Non-Dox,5
Ahmedabad,Bangalore,8.58,Surface,Non-Dox,5
Nagpur,Kochi,3.23,Surface,Non-Dox,3
Aurangabad,Vijayawada,13.46,Surface,Dox,5
Ahmedabad,Vizag,7.45,Express,Non-Dox,2
Vizag,Jaipur,6.6,Surface,Dox,5
Indore,Chennai,10.87,Surface,Dox,5
Agra,Kochi,8.59,Surface,Dox,5
Vizag,Bangalore,5.85,Surface,Dox,5
Chennai,Pune,7.66,Air Cargo,Dox,5
Agra,Chennai,8.71,Express,Non-Dox,2
Coimbatore,Thiruvananthapuram,2.17,Surface,Dox,3
Surat,Jamshedpur,7.54,Surface,Dox,5
Nagpur,Pune,7.99,Surface,Non-Dox,5
Ranchi,Delhi,11.81,Surface,Non-Dox,5
Kochi,Raipur,9.43,Express,Dox,2
Chandigarh,Raipur,3.46,Surface,Dox,3
Chandigarh,Mumbai,4.39,Surface,Non-Dox,3
Amritsar,Chennai,2.95,Surface,Dox,3
Hyderabad,Vizag,1.7,Surface,Dox,3
Kolkata,Surat,3.46,Surface,Dox,3
Meerut,Nashik,9.14,Surface,Dox,5
Varanasi,Dehradun,6.66,Surface,Dox,5
Pune,Indore,14.63,Surface,Dox,5
Vizag,Varanasi,7.95,Surface,Dox,5
Bhubaneswar,Kochi,7.05,Air Cargo,Non-Dox,5
Varanasi,Aurangabad,1.66,Surface,Non-Dox,3
Ludhiana,Guwahati,12.16,Surface,Non-Dox,5
Chennai,Jamshedpur,10.75,Surface,Non-Dox,5
Pune,Guwahati,5.11,Air Cargo,Non-Dox,5
Dehradun,Mumbai,13.86,Surface,Dox,5
Nashik,Shimla,9.55,Air Cargo,Non-Dox,5
Aurangabad,Ludhiana,1.33,Express,Non-Dox,1
Lucknow,Shimla,11.45,Express,Non-Dox,2
Nashik,Vijayawada,5.24,Express,Dox,2
Jamshedpur,Coimbatore,3.41,Air Cargo,Non-Dox,3
Kochi,Kolkata,8.92,Air Cargo,Dox,5
Chandigarh,Vijayawada,9.41,Surface,Non-Dox,5
Shimla,Aurangabad,7.29,Surface,Dox,5
Aurangabad,Ludhiana,6.67,Express,Non-Dox,2
Jamshedpur,Coimbatore,10.76,Express,Dox,2
Mumbai,Chennai,6.27,Surface,Non-Dox,5
Srinagar,Bhubaneswar,5.03,Surface,Dox,5
Vizag,Patna,6.36,Surface,Non-Dox,5
Pune,Patna,8.92,Air Cargo,Non-Dox,5
Varanasi,Aurangabad,4.39,Express,Non-Dox,2
Raipur,Delhi,8.5,Express,Non-Dox,2
Kochi,Indore,7.56,Surface,Non-Dox,5
Indore,Agra,7.17,Surface,Non-Dox,5
Patna,Nashik,11.19,Express,Non-Dox,2
Chandigarh,Patna,10.58,Surface,Non-Dox,5
Indore,Kolkata,9.61,Surface,Non-Dox,5
Meerut,Chennai,6.9,Express,Dox,2
Aurangabad,Agra,7.57,Surface,Non-Dox,5
Aurangabad,Ahmedabad,2.67,Surface,Non-Dox,3
Raipur,Mumbai,7.5,Air Cargo,Dox,5
Indore,Agra,2.36,Surface,Dox,3
Coimbatore,Vijayawada,2.79,Express,Non-Dox,2
Guwahati,Bhopal,13.16,Air Cargo,Non-Dox,5
Shimla,Delhi,11.76,Surface,Non-Dox,5
Raipur,Surat,12.98,Surface,Dox,5
Lucknow,Meerut,5.3,Surface,Dox,5
Mumbai,Bhubaneswar,7.56,Surface,Non-Dox,5
Amritsar,Indore,3.64,Express,Dox,2
Kolkata,Guwahati,8.42,Air Cargo,Non-Dox,5
Guwahati,Jaipur,3.69,Surface,Dox,3
Ranchi,Surat,5.23,Surface,Non-Dox,5
Srinagar,Pune,5.53,Surface,Dox,5
Ludhiana,Chennai,2.18,Air Cargo,Non-Dox,3
Meerut,Mumbai,3.03,Surface,Non-Dox,3
Vizag,Guwahati,7.63,Surface,Non-Dox,5
Pune,Chandigarh,5.49,Express,Dox,2
Ahmedabad,Srinagar,5.19,Express,Dox,2
Nashik,Surat,2.74,Air Cargo,Non-Dox,3
Nagpur,Bhubaneswar,7.89,Surface,Non-Dox,5
Coimbatore,Chennai,6.63,Express,Dox,2
Bhubaneswar,Aurangabad,4.98,Surface,Non-Dox,3
Raipur,Shimla,9.8,Surface,Dox,5
Lucknow,Pune,3.26,Surface,Dox,3
Pune,Jamshedpur,6.71,Express,Dox,2
Chennai,Vijayawada,11.92,Surface,Dox,5
Ahmedabad,Bhubaneswar,12.22,Air Cargo,Dox,5
Vizag,Chennai,6.18,Air Cargo,Dox,5
Chennai,Srinagar,2.65,Surface,Dox,3
Ahmedabad,Raipur,11.02,Surface,Non-Dox,5
Vijayawada,Patna,3.86,Surface,Dox,3
Nagpur,Dehradun,9.52,Surface,Non-Dox,5
Bangalore,Hyderabad,8.63,Express,Dox,2
Bhubaneswar,Mumbai,12.34,Air Cargo,Dox,5
Amritsar,Dehradun,9.64,Surface,Dox,5
Ludhiana,Guwahati,12.25,Surface,Non-Dox,5
Indore,Meerut,14.36,Air Cargo,Non-Dox,5
Delhi,Bhopal,8.74,Express,Non-Dox,2
Kochi,Vizag,4.26,Air Cargo,Non-Dox,3
Mumbai,Srinagar,8.75,Surface,Dox,5
Coimbatore,Lucknow,4.26,Surface,Non-Dox,3
Kolkata,Srinagar,11.85,Surface,Non-Dox,5
Jaipur,Hyderabad,7.72,Surface,Non-Dox,5
Lucknow,Surat,3.09,Express,Non-Dox,2
Guwahati,Delhi,11.24,Surface,Non-Dox,5
Shimla,Vizag,11.24,Air Cargo,Dox,5
Lucknow,Patna,13.86,Surface,Non-Dox,5
Delhi,Kolkata,13.83,Surface,Non-Dox,5
Vijayawada,Chennai,3.97,Surface,Non-Dox,3
Srinagar,Ahmedabad,10.79,Air Cargo,Non-Dox,5
Raipur,Bhubaneswar,11.22,Express,Dox,2
Bhubaneswar,Ranchi,5.57,Air Cargo,Dox,5
Mumbai,Agra,9.6,Surface,Non-Dox,5
Surat,Agra,13.41,Air Cargo,Non-Dox,5
Thiruvananthapuram,Ahmedabad,3.09,Surface,Dox,3
Dehradun,Mumbai,7.96,Surface,Non-Dox,5
Patna,Chennai,6.09,Express,Dox,2
Srinagar,Delhi,9.24,Express,Non-Dox,2
Jaipur,Coimbatore,6.39,Surface,Dox,5
Chennai,Kochi,8.71,Surface,Non-Dox,5
Patna,Meerut,8.63,Air Cargo,Non-Dox,5
Guwahati,Coimbatore,6.65,Surface,Non-Dox,5
Delhi,Srinagar,9.48,Surface,Non-Dox,5
Indore,Kochi,9.97,Air Cargo,Dox,5
Lucknow,Ahmedabad,4.44,Surface,Dox,3
Kolkata,Dehradun,9,Surface,Dox,5
Bangalore,Guwahati,2.84,Surface,Non-Dox,3
Coimbatore,Aurangabad,11.94,Surface,Dox,5
Pune,Guwahati,10.96,Surface,Dox,5
Jamshedpur,Guwahati,2.78,Surface,Non-Dox,3
Bangalore,Nagpur,2.23,Surface,Dox,3
Chandigarh,Jamshedpur,8.93,Surface,Dox,5
Surat,Coimbatore,4.47,Surface,Dox,3
Hyderabad,Chandigarh,1.91,Surface,Dox,3
Aurangabad,Ludhiana,2.89,Surface,Dox,3
Nashik,Varanasi,5.94,Air Cargo,Non-Dox,5
Vizag,Varanasi,13.93,Air Cargo,Non-Dox,5
Ahmedabad,Srinagar,3.36,Surface,Dox,3
Mumbai,Patna,9.32,Surface,Dox,5
Bangalore,Vijayawada,5.29,Surface,Dox,5
Kolkata,Chandigarh,9.7,Air Cargo,Non-Dox,5
Shimla,Aurangabad,1.21,Surface,Dox,3
Kolkata,Jaipur,5.15,Express,Non-Dox,2
Bhubaneswar,Thiruvananthapuram,6,Surface,Non-Dox,5
Amritsar,Lucknow,8.48,Surface,Dox,5
Guwahati,Nashik,5.98,Surface,Non-Dox,5
Vijayawada,Guwahati,11.39,Express,Dox,2
Bhopal,Nagpur,7.58,Air Cargo,Non-Dox,5
Vijayawada,Coimbatore,9.85,Express,Dox,2
Agra,Srinagar,10.55,Air Cargo,Non-Dox,5
Thiruvananthapuram,Surat,10.99,Air Cargo,Non-Dox,5
Nagpur,Nashik,9.5,Express,Non-Dox,2
Agra,Indore,5.4,Air Cargo,Non-Dox,5
Dehradun,Kolkata,3.84,Surface,Non-Dox,3
Vijayawada,Srinagar,6.59,Air Cargo,Non-Dox,5
Agra,Bhopal,4.43,Air Cargo,Dox,3
Chennai,Delhi,7.87,Surface,Dox,5
Srinagar,Guwahati,10.56,Surface,Non-Dox,5
Mumbai,Nashik,6.52,Surface,Dox,5
Ahmedabad,Raipur,3.44,Express,Dox,2
Thiruvananthapuram,Jaipur,7.62,Surface,Non-Dox,5
Surat,Indore,2.43,Surface,Non-Dox,3
Chennai,Patna,8.96,Air Cargo,Dox,5
Pune,Guwahati,6.94,Express,Dox,2
Amritsar,Vijayawada,7.14,Surface,Dox,5
Bangalore,Raipur,12.9,Air Cargo,Non-Dox,5
Hyderabad,Shimla,13.07,Surface,Non-Dox,5
Hyderabad,Aurangabad,1.34,Surface,Dox,3
Meerut,Pune,12.73,Express,Dox,2
Chennai,Agra,4.49,Express,Non-Dox,2
Dehradun,Vizag,5.11,Surface,Non-Dox,5
Srinagar,Bhopal,7.51,Surface,Non-Dox,5
Chandigarh,Chennai,5.5,Express,Non-Dox,2
Kolkata,Surat,14.07,Surface,Dox,5
Vijayawada,Hyderabad,5.03,Surface,Dox,5
Bangalore,Raipur,6.29,Air Cargo,Non-Dox,5
Agra,Surat,8.97,Express,Dox,2
Vizag,Jaipur,13.51,Express,Dox,2
Jaipur,Chandigarh,10.44,Surface,Dox,5
Ahmedabad,Thiruvananthapuram,5.68,Surface,Dox,5
Amritsar,Nagpur,10.78,Air Cargo,Non-Dox,5
Shimla,Dehradun,4.87,Surface,Dox,3
Nagpur,Surat,10.54,Express,Non-Dox,2
Dehradun,Mumbai,4.76,Air Cargo,Dox,3
Vizag,Raipur,3.35,Surface,Dox,3
Ludhiana,Chennai,4.12,Air Cargo,Dox,3
Bhopal,Thiruvananthapuram,3.9,Surface,Dox,3
Vijayawada,Coimbatore,12.7,Air Cargo,Dox,5
Srinagar,Surat,8.58,Express,Dox,2
Kolkata,Delhi,9.95,Surface,Dox,5
Indore,Delhi,4.06,Surface,Dox,3
Amritsar,Jaipur,5.18,Express,Dox,2
Meerut,Nagpur,9.81,Surface,Dox,5
Patna,Srinagar,4.64,Surface,Dox,3
Indore,Varanasi,4.3,Surface,Dox,3
Thiruvananthapuram,Ahmedabad,7.64,Air Cargo,Dox,5
Indore,Bhopal,5.58,Express,Non-Dox,2
Chennai,Vijayawada,5.04,Surface,Dox,5
Shimla,Raipur,6.47,Air Cargo,Non-Dox,5
Pune,Bhubaneswar,6.4,Surface,Non-Dox,5
Jamshedpur,Kolkata,11.48,Surface,Non-Dox,5
Bangalore,Bhubaneswar,11.9,Surface,Non-Dox,5
Hyderabad,Jaipur,3.77,Air Cargo,Dox,3
Ranchi,Kolkata,12.06,Air Cargo,Non-Dox,5
Coimbatore,Lucknow,1.73,Air Cargo,Dox,3
Vizag,Ludhiana,9.41,Express,Non-Dox,2
Coimbatore,Thiruvananthapuram,7.13,Surface,Non-Dox,5
Ranchi,Srinagar,9.79,Surface,Dox,5
Raipur,Surat,8.85,Surface,Dox,5
Bangalore,Hyderabad,4.35,Surface,Dox,3
Ahmedabad,Aurangabad,1.81,Surface,Dox,3
Patna,Chennai,3.37,Express,Non-Dox,2
Jamshedpur,Guwahati,10.36,Surface,Dox,5
Vijayawada,Raipur,5.51,Surface,Dox,5
Nagpur,Ludhiana,11.39,Air Cargo,Non-Dox,5
Meerut,Pune,3.64,Express,Non-Dox,2
Raipur,Bhubaneswar,12.11,Air Cargo,Dox,5
Bangalore,Coimbatore,10.06,Surface,Non-Dox,5
Meerut,Amritsar,7.77,Surface,Dox,5
Bhopal,Agra,12.27,Air Cargo,Non-Dox,5
Nashik,Kolkata,10.75,Express,Non-Dox,2
Kolkata,Lucknow,0.94,Surface,Dox,3
Guwahati,Delhi,9.04,Express,Non-Dox,2
Ahmedabad,Thiruvananthapuram,3.86,Surface,Non-Dox,3
Bhopal,Agra,9.11,Express,Dox,2
Indore,Agra,1.6,Surface,Dox,3
Bhopal,Coimbatore,3.72,Air Cargo,Non-Dox,3
Ranchi,Aurangabad,13.21,Air Cargo,Non-Dox,5
Agra,Aurangabad,11.31,Air Cargo,Dox,5
Ranchi,Ahmedabad,3.13,Surface,Non-Dox,3
Aurangabad,Srinagar,8.06,Air Cargo,Non-Dox,5
Dehradun,Vijayawada,6.55,Air Cargo,Dox,5
Hyderabad,Jaipur,2.04,Surface,Dox,3
Jamshedpur,Indore,7.35,Surface,Non-Dox,5
Jamshedpur,Kochi,2.44,Air Cargo,Dox,3
Pune,Jaipur,12.08,Express,Dox,2
Surat,Srinagar,11.02,Surface,Non-Dox,5
Amritsar,Varanasi,9.75,Surface,Non-Dox,5
Amritsar,Agra,2.76,Surface,Non-Dox,3
Ludhiana,Delhi,5.14,Express,Non-Dox,2
Nagpur,Agra,9.91,Surface,Dox,5
Vijayawada,Delhi,8.6,Surface,Non-Dox,5
Delhi,Patna,6.4,Air Cargo,Dox,5
Ranchi,Raipur,11.33,Surface,Dox,5
Delhi,Aurangabad,4.49,Surface,Non-Dox,3
Delhi,Guwahati,11.73,Surface,Dox,5
Nagpur,Ahmedabad,3.55,Surface,Dox,3
Ludhiana,Kochi,8.83,Express,Non-Dox,2
Lucknow,Ahmedabad,5.29,Surface,Non-Dox,5
Ranchi,Bhubaneswar,9.24,Surface,Dox,5
Bhubaneswar,Chennai,12.94,Surface,Non-Dox,5
Aurangabad,Jaipur,3.06,Air Cargo,Non-Dox,3
Chennai,Varanasi,7.72,Surface,Non-Dox,5
Lucknow,Pune,5.93,Surface,Dox,5
Ranchi,Chennai,6.91,Surface,Non-Dox,5
Raipur,Shimla,4.73,Surface,Non-Dox,3
Bhopal,Shimla,4.6,Surface,Non-Dox,3
Chennai,Meerut,8.2,Surface,Dox,5
Thiruvananthapuram,Raipur,9.3,Surface,Non-Dox,5
Bhubaneswar,Meerut,9.73,Surface,Dox,5
Kolkata,Indore,8.97,Surface,Dox,5
Bhubaneswar,Bhopal,12.02,Air Cargo,Dox,5
Bhopal,Jamshedpur,6.25,Surface,Dox,5
Jamshedpur,Bhopal,13.03,Express,Dox,2
Surat,Mumbai,6.52,Surface,Non-Dox,5
Kolkata,Kochi,8.24,Surface,Non-Dox,5
Ahmedabad,Nagpur,8.05,Surface,Dox,5
Meerut,Dehradun,10.05,Surface,Dox,5
Vijayawada,Amritsar,11.96,Surface,Non-Dox,5
Raipur,Nagpur,9.27,Surface,Dox,5
Delhi,Varanasi,13.79,Air Cargo,Dox,5
Guwahati,Dehradun,8.86,Surface,Dox,5
Kochi,Amritsar,12.08,Express,Dox,2
Srinagar,Patna,10.15,Air Cargo,Non-Dox,5
Hyderabad,Shimla,6.75,Surface,Dox,5
Amritsar,Bhopal,8.35,Express,Dox,2
Kolkata,Vizag,8.35,Express,Non-Dox,2
Aurangabad,Pune,11.86,Express,Non-Dox,2
Jamshedpur,Delhi,4,Surface,Dox,3
Lucknow,Pune,5.76,Express,Non-Dox,2
Jamshedpur,Varanasi,6.07,Air Cargo,Dox,5
Bhubaneswar,Mumbai,8.3,Surface,Dox,5
Kochi,Ahmedabad,8.68,Air Cargo,Dox,5
Delhi,Ranchi,11.15,Surface,Non-Dox,5
Surat,Vizag,9.14,Express,Non-Dox,2
Kolkata,Indore,4.69,Express,Non-Dox,2
Ludhiana,Coimbatore,12.29,Surface,Non-Dox,5
Bhopal,Amritsar,3.54,Air Cargo,Dox,3
Pune,Raipur,7.93,Surface,Dox,5
Surat,Aurangabad,12.34,Air Cargo,Dox,5
Nagpur,Dehradun,2.61,Surface,Dox,3
Shimla,Coimbatore,3.95,Express,Non-Dox,2
Coimbatore,Vizag,7.59,Express,Dox,2
Raipur,Patna,5.77,Surface,Non-Dox,5
Surat,Jamshedpur,13.39,Express,Dox,2
Meerut,Patna,6.34,Surface,Non-Dox,5
Aurangabad,Kochi,5.88,Express,Non-Dox,2
Nashik,Aurangabad,6.91,Air Cargo,Non-Dox,5
Srinagar,Hyderabad,5.94,Express,Dox,2
Aurangabad,Chennai,5.88,Surface,Non-Dox,5
Surat,Thiruvananthapuram,13.99,Surface,Non-Dox,5
Ludhiana,Varanasi,2.52,Air Cargo,Dox,3
Amritsar,Surat,4.88,Surface,Dox,3
Bhopal,Chennai,10.2,Surface,Non-Dox,5
Kolkata,Chennai,5.89,Surface,Dox,5
Raipur,Amritsar,9.11,Express,Non-Dox,2
Thiruvananthapuram,Delhi,5.41,Air Cargo,Dox,5
Ludhiana,Bhopal,11.95,Express,Dox,2
Srinagar,Ahmedabad,4.33,Surface,Dox,3
Vijayawada,Ludhiana,12.4,Surface,Dox,5
Ludhiana,Chennai,8.27,Express,Dox,2
Mumbai,Surat,3.61,Surface,Dox,3
Bangalore,Guwahati,13.44,Express,Dox,2
Coimbatore,Agra,10.91,Air Cargo,Dox,5
Jaipur,Bangalore,14.12,Surface,Non-Dox,5
Ludhiana,Meerut,13.37,Surface,Dox,5
Bhopal,Chandigarh,6.98,Express,Dox,2
Ranchi,Shimla,7.02,Surface,Dox,5
Pune,Guwahati,1.8,Air Cargo,Non-Dox,3
Jaipur,Mumbai,12.59,Express,Non-Dox,2
Jaipur,Bhubaneswar,3.61,Surface,Non-Dox,3
Vizag,Lucknow,12.37,Air Cargo,Dox,5
Chandigarh,Thiruvananthapuram,6.26,Surface,Dox,5
Vizag,Meerut,8.52,Surface,Dox,5
Bhubaneswar,Srinagar,5.81,Surface,Non-Dox,5
Patna,Mumbai,11.12,Express,Non-Dox,2
Patna,Pune,9.46,Express,Dox,2
Patna,Amritsar,11.92,Surface,Dox,5
Shimla,Ranchi,7.79,Surface,Non-Dox,5
Varanasi,Guwahati,13.43,Surface,Dox,5
Aurangabad,Varanasi,2.12,Surface,Dox,3
Aurangabad,Chandigarh,11.64,Express,Dox,2
Meerut,Ahmedabad,8.48,Express,Dox,2
Lucknow,Vijayawada,12.16,Surface,Non-Dox,5
Dehradun,Indore,9.77,Air Cargo,Non-Dox,5
Ranchi,Raipur,5.01,Air Cargo,Dox,5
Surat,Chandigarh,10.21,Surface,Dox,5
Thiruvananthapuram,Indore,11.13,Air Cargo,Dox,5
Aurangabad,Vijayawada,7.62,Air Cargo,Non-Dox,5
Ranchi,Indore,6.02,Express,Non-Dox,2
Ranchi,Kolkata,9.55,Air Cargo,Dox,5
Srinagar,Bangalore,8.46,Surface,Dox,5
Chennai,Pune,8.36,Express,Dox,2
Chennai,Bhubaneswar,12.52,Surface,Non-Dox,5
Vizag,Kochi,8.65,Surface,Dox,5
Meerut,Vizag,9.04,Air Cargo,Dox,5
Dehradun,Vizag,12.27,Surface,Non-Dox,5
Varanasi,Bhopal,1.67,Surface,Dox,3
Chennai,Vijayawada,10.07,Surface,Dox,5
Aurangabad,Vijayawada,11.85,Surface,Non-Dox,5
Amritsar,Bhubaneswar,8.51,Express,Dox,2
Meerut,Delhi,7.06,Air Cargo,Non-Dox,5
Jamshedpur,Mumbai,12.63,Air Cargo,Non-Dox,5
Shimla,Chandigarh,10.58,Surface,Non-Dox,5
Agra,Bhubaneswar,9.44,Express,Non-Dox,2
Raipur,Kochi,6.13,Air Cargo,Non-Dox,5
Jamshedpur,Vijayawada,11.57,Surface,Dox,5
Bhopal,Meerut,9.39,Air Cargo,Non-Dox,5
Delhi,Kolkata,14.3,Surface,Dox,5
Delhi,Chandigarh,2.99,Air Cargo,Dox,3
Coimbatore,Guwahati,14.46,Surface,Dox,5
Hyderabad,Vizag,2.95,Surface,Dox,3
Amritsar,Ludhiana,4.04,Air Cargo,Non-Dox,3
Lucknow,Chennai,11.49,Surface,Dox,5
Lucknow,Varanasi,11.83,Surface,Non-Dox,5
Lucknow,Meerut,11.99,Surface,Dox,5
Patna,Bhubaneswar,8.95,Surface,Non-Dox,5
Ahmedabad,Vijayawada,10.12,Surface,Dox,5
Patna,Pune,4.29,Surface,Dox,3
Jaipur,Patna,3.68,Express,Dox,2
Bhopal,Jaipur,6.01,Air Cargo,Non-Dox,5
Amritsar,Chennai,8.58,Surface,Non-Dox,5
Lucknow,Amritsar,9.83,Express,Dox,2
Ludhiana,Guwahati,7.73,Surface,Dox,5
Ludhiana,Meerut,13.48,Surface,Non-Dox,5
Amritsar,Nashik,12.96,Surface,Dox,5
Agra,Amritsar,4.01,Air Cargo,Non-Dox,3
Nagpur,Ludhiana,7.32,Surface,Dox,5
Ranchi,Amritsar,7.48,Surface,Dox,5
Shimla,Chennai,12.48,Surface,Dox,5
Vizag,Aurangabad,2.91,Air Cargo,Dox,3
Thiruvananthapuram,Ludhiana,11.01,Surface,Dox,5
Bhopal,Shimla,7.79,Express,Dox,2
Nashik,Chennai,6.55,Air Cargo,Dox,5
Surat,Kolkata,6.29,Surface,Non-Dox,5
Ludhiana,Coimbatore,6.36,Surface,Non-Dox,5
Ranchi,Mumbai,9.52,Express,Dox,2
Srinagar,Indore,2.57,Surface,Non-Dox,3
